Code,Title
"3515","Carl D. Perkins Career and Technical Education: State Leadership, Section 124                                                                                                                                                                             "
"3540","Carl D. Perkins Career and Technical Education: State Institutions, Section 112                                                                                                                                                                           "
"3550","Carl D. Perkins Career and Technical Education: Secondary, Section 131                                                                                                                                                                                    "
"3555","Carl D. Perkins Career and Technical Education: Adult, Section 132                                                                                                                                                                                        "
"3724","Advancing Wellness & Resilience in Education (NITT-AWARE) Program                                                                                                                                                                                         "
"3725","Safe and Supportive Schools Programmatic Intervention (19-20)                                                                                                                                                                                             "
"3905","Adult Education: Adult Basic Education & ELA                                                                                                                                                                                                              "
"3909","Adult Education: State Leadership Projects                                                                                                                                                                                                                "
"3913","Adult Education: Adult Secondary Education                                                                                                                                                                                                                "
"3926","Adult Education:  English Literacy & Civics Education                                                                                                                                                                                                     "
"3927","Adult Education:  English Literacy & Civics Education State Leadership (16-17)                                                                                                                                                                            "
"3940","Adult Education: Institutionalized Adults                                                                                                                                                                                                                 "
"4035","ESSA: Title II, Part A, Supporting Effective Instruction                                                                                                                                                                                                  "
"4036","NCLB: Title II, Part A, Administrator Training (14-15)                                                                                                                                                                                                    "
"4045","NCLB: Title II, Part D, Enhancing Education Through Technology, Formula Grants (13-14)                                                                                                                                                                    "
"4047","NCLB: ARRA Title II, Part D, Enhancing Education Through Technology (13-14)                                                                                                                                                                               "
"4050","NCLB: Title II, Part B, CA Mathematics and Science Partnerships (17-18)                                                                                                                                                                                   "
"4123","ESSA: Title IV, 21st Century Community Learning Centers Technical Assistance                                                                                                                                                                              "
"4124","ESSA: Title IV, Part B, 21st Century Community Learning Centers Program                                                                                                                                                                                   "
"4126","ESSA: Title V, Part B, Rural & Low Income School Program                                                                                                                                                                                                  "
"4127","ESSA: Title IV, Part A, Student Support and Academic Enrichment Grants                                                                                                                                                                                    "
"4128","ESSA: Title IV, Part A, Student Support and Academic Enrichment Grant Program (Competitive)                                                                                                                                                               "
"4201","ESSA: Title III, Immigrant Student Program                                                                                                                                                                                                                "
"4203","ESSA: Title III, English Learner Student Program                                                                                                                                                                                                          "
"4204","ESSA: Title III, Technical Assistance                                                                                                                                                                                                                     "
"4216","Refugee Children Supplemental Assistance Program (13-14)                                                                                                                                                                                                  "
"4310","School-to-Work (School-to-Career) (05/06)                                                                                                                                                                                                                 "
"4510","Indian Education                                                                                                                                                                                                                                          "
"4610","ESSA, Title IV, Part C: Public Charter Schools Grants                                                                                                                                                                                                     "
"4810","Other ARRA Programs (17-18)                                                                                                                                                                                                                               "
"5025","Child Development: Federal Child Care, Center-based                                                                                                                                                                                                       "
"5026","Child Development: Federal Family Child Care Homes                                                                                                                                                                                                        "
"5035","Child Development: Quality Improvement Activities                                                                                                                                                                                                         "
"5037","Child Development: ARRA Quality Improvement Activities (17-18)                                                                                                                                                                                            "
"5050","Child Development: Federal Alternative Payment                                                                                                                                                                                                            "
"5055","Child Development: Local Planning Councils                                                                                                                                                                                                                "
"5061","Child Development: Federal Alternative Payment, Stage 2                                                                                                                                                                                                   "
"5062","Child Development: Federal Alternative Payment, Stage 3                                                                                                                                                                                                   "
"5080","Child Development: School-Age Child Care Resource Contracts (15-16)                                                                                                                                                                                       "
"5085","Child Development: Federal Resource and Referral (17-18)                                                                                                                                                                                                  "
"5095","Child Deveopment: Infant/Toddler Child Care Resource Contracts                                                                                                                                                                                            "
"5210","Head Start                                                                                                                                                                                                                                                "
"5245","Early Head Start- Child Care Partnership                                                                                                                                                                                                                  "
"5310","Child Nutrition: School Programs (e.g., School Lunch, School Breakfast, Milk, Pregnant & Lactating Students)                                                                                                                                              "
"5314","Child Nutrition: NSLP Equipment Assistance Grants                                                                                                                                                                                                         "
"5320","Child Nutrition: Child Care Food Program (CCFP) Claims-Centers and Family Day Care Homes (Meal Reimbursements)                                                                                                                                            "
"5330","Child Nutrition: Summer Food Service Program Operations                                                                                                                                                                                                   "
"5335","Child Nutrition: Summer Food Service Sponsor Administration                                                                                                                                                                                               "
"5340","Child Nutrition: CCFP Cash in Lieu of Commodities                                                                                                                                                                                                         "
"5350","Child Nutrition: CCFP Family Day Care Sponsor Admin                                                                                                                                                                                                       "
"5360","Child Nutrition: CCFP Startup                                                                                                                                                                                                                             "
"5370","Child Nutrition: Fresh Fruit and Vegetable Program                                                                                                                                                                                                        "
"5380","Child Nutrition: School Breakfast Startup                                                                                                                                                                                                                 "
"5454","Child Nutrition: Team Nutrition                                                                                                                                                                                                                           "
"5510","NCLB: Title V, Part D, Character Education (17-18)                                                                                                                                                                                                        "
"5610","Workforce Innovation and Opportunity Act (WIOA) from Other Agencies (Local Areas)                                                                                                                                                                         "
"5630","ESSA: Title IX, Part A, McKinney-Vento Homeless Assistance Grants                                                                                                                                                                                         "
"5640","Medi-Cal Billing Option                                                                                                                                                                                                                                   "
"5650","FEMA Public Assistance Funds                                                                                                                                                                                                                              "
"5652","FEMA Hazard Mitigation Grant                                                                                                                                                                                                                              "
"5653","Project School Emergency Response to Violence (SERV)                                                                                                                                                                                                      "
"5654","Immediate Aid to Restart School Operations (Restart)                                                                                                                                                                                                      "
"5810","Other Restricted Federal                                                                                                                                                                                                                                  "
"6010","After School Education and Safety (ASES)                                                                                                                                                                                                                  "
"6011","After School Kids Code Grant Pilot Program                                                                                                                                                                                                                "
"6015","Adults in Correctional Facilities                                                                                                                                                                                                                         "
"6020","CSIS: California School Information Service (13-14)                                                                                                                                                                                                       "
"6030","Charter School Facility Grant Program                                                                                                                                                                                                                     "
"6040","Child Development: State Alternative Payment                                                                                                                                                                                                              "
"6041","Child Development: State Alternative Payment Stage 2                                                                                                                                                                                                      "
"6042","Child Development:  State Alternative Payment, Stage 3                                                                                                                                                                                                    "
"6045","Child Development: State Local Planning Councils                                                                                                                                                                                                          "
"6052","Child Development: Prekindergarten and Family Literacy, Program Support                                                                                                                                                                                   "
"6055","Child Development: State Preschool (09-10)                                                                                                                                                                                                                "
"6060","Child Development: State General Child Care, Center- based                                                                                                                                                                                                "
"6065","Child Development: Migrant Day Care Centers                                                                                                                                                                                                               "
"6070","Child Development: Migrant Special Services                                                                                                                                                                                                               "
"6075","Child Development: State Family Child Care Homes                                                                                                                                                                                                          "
"6100","Child Development: California Child Care Initiative Project                                                                                                                                                                                               "
"6105","Child Development: California State Preschool Program                                                                                                                                                                                                     "
"6110","Child Development: Resource & Referral                                                                                                                                                                                                                    "
"6126","Child Development: California Transitional Kindergarten Stipend (CTKS) Incentive Program                                                                                                                                                                  "
"6127","Child Development: California State Preschool Program QRIS Block Grant RFA                                                                                                                                                                                "
"6128","Inclusive Early Education Expansion Grant                                                                                                                                                                                                                 "
"6130","Child Development: Center-Based Reserve Account                                                                                                                                                                                                           "
"6131","Child Development: Resource & Referral Reserve Account                                                                                                                                                                                                    "
"6132","Child Development: Alternative Payment Reserve Account                                                                                                                                                                                                    "
"6140","Child Development: Child Care Facilities Revolving Fund                                                                                                                                                                                                   "
"6145","Child Development: Facilities Renovation and Repair                                                                                                                                                                                                       "
"6225","Emergency Repair Program, Williams Case                                                                                                                                                                                                                   "
"6230","California Clean Energy Jobs Act                                                                                                                                                                                                                          "
"6264","Educator Effectiveness (15-16)                                                                                                                                                                                                                            "
"6286","English Language Acquisition Program, Teacher Training & Student Assistance (10-11)                                                                                                                                                                       "
"6300","Lottery:  Instructional Materials                                                                                                                                                                                                                         "
"6317","California Equity Performance and Improvement Grant                                                                                                                                                                                                       "
"6355","Direct Support Professional Training Program                                                                                                                                                                                                              "
"6360","Pupils with Disabilities Attending ROC/P                                                                                                                                                                                                                  "
"6370","ROC/P or Adult Ed: CALWORKs Participants Supportive Services (04/05)                                                                                                                                                                                      "
"6371","CalWORKs for ROCP or Adult Education                                                                                                                                                                                                                      "
"6378","California Health Science Capacity Building Project                                                                                                                                                                                                       "
"6382","California Career Pathways Trust (16-17)                                                                                                                                                                                                                  "
"6385","Governor's CTE Initiative: California Partnership Academies                                                                                                                                                                                               "
"6386","California Partnership Academies: Green and Clean Academies                                                                                                                                                                                               "
"6387","Career Technical Education Incentive Grant Program                                                                                                                                                                                                        "
"6388","Strong Workforce Program                                                                                                                                                                                                                                  "
"6390","Adult Education Apportionment (09-10)                                                                                                                                                                                                                     "
"6391","Adult Education Program                                                                                                                                                                                                                                   "
"6392","Adult Education Block Grant Data and Accountability                                                                                                                                                                                                       "
"6500","Special Education                                                                                                                                                                                                                                         "
"6501","Special Ed: State Local Assistance Grant (17-18)                                                                                                                                                                                                          "
"6510","Special Ed: Early Ed Individuals with Exceptional Needs (Infant Program)                                                                                                                                                                                  "
"6512","Special Ed: Mental Health Services                                                                                                                                                                                                                        "
"6513","Special Ed: State Preschool Grant (16-17)                                                                                                                                                                                                                 "
"6515","Special Ed: Infant Discretionary Funds                                                                                                                                                                                                                    "
"6520","Special Ed: Project Workability I LEA                                                                                                                                                                                                                     "
"6540","Special Ed: State Staff Development                                                                                                                                                                                                                       "
"6545","SELPA Systems Improvement Leads                                                                                                                                                                                                                           "
"6650","Tobacco-Use Prevention Education: Discretionary District Grants                                                                                                                                                                                           "
"6680","Tobacco-Use Prevention Education: COE Administration Grants                                                                                                                                                                                               "
"6685","Tobacco-Use Prevention Education (Prop.56): COE Technical Assistance Grants                                                                                                                                                                               "
"6690","Tobacco-Use Prevention Education: Grades Six Through Twelve                                                                                                                                                                                               "
"6695","Tobacco Use Prevention Education (Prop.56): Local Assistance                                                                                                                                                                                              "
"7010","Agricultural Career Technical Education Incentive                                                                                                                                                                                                         "
"7024","California-grown Fresh School Meals Grant                                                                                                                                                                                                                 "
"7085","Learning Communities for School Success Program                                                                                                                                                                                                           "
"7090","Economic Impact Aid (EIA): State Compensatory Education (SCE) (12-13)                                                                                                                                                                                     "
"7124","Broadband Infrastructure Improvement Grant (BIIG)                                                                                                                                                                                                         "
"7126","California K-12 High Speed Network                                                                                                                                                                                                                        "
"7135","Environmental Education                                                                                                                                                                                                                                   "
"7210","American Indian Early Childhood Education                                                                                                                                                                                                                 "
"7220","Partnership Academies Program                                                                                                                                                                                                                             "
"7230","Transportation: Home to School (12-13)                                                                                                                                                                                                                    "
"7235","Transportation: School Bus Replacement (12-13)                                                                                                                                                                                                            "
"7236","School Bus Emissions Reduction Funds                                                                                                                                                                                                                      "
"7250","School Based Coordination Program (SBCP) (12-13)                                                                                                                                                                                                          "
"7311","Classified School Employee Professional Development Block Grant                                                                                                                                                                                           "
"7338","College Readiness Block Grant                                                                                                                                                                                                                             "
"7352","School Improvement and Staff Development Cluster (AB 615)                                                                                                                                                                                                 "
"7353","Alternative and Compensatory Education Cluster (AB 615)                                                                                                                                                                                                   "
"7354","School District Improvement Cluster (AB 615)                                                                                                                                                                                                              "
"7360","Student Organizations Vocational Education                                                                                                                                                                                                                "
"7365","Supplementary Programs: Foster Youth                                                                                                                                                                                                                      "
"7366","Supplementary Programs: Foster Youth Services Countywide and Juvenile Detention Programs                                                                                                                                                                  "
"7370","Supplementary Programs: Specialized Secondary                                                                                                                                                                                                             "
"7400","Quality Education Investment Act                                                                                                                                                                                                                          "
"7405","Common Core State Standards Implementation (14-15)                                                                                                                                                                                                        "
"7410","Student Friendly Services                                                                                                                                                                                                                                 "
"7411","Online Educational Resources (Student Friendly Services)                                                                                                                                                                                                  "
"7415","Classified School Employee Summer Assistance Program                                                                                                                                                                                                      "
"7505","Geographic Lead Agency Program                                                                                                                                                                                                                            "
"7510","Low-Performing Students Block Grant                                                                                                                                                                                                                       "
"7690","On-Behalf Pension Contributions                                                                                                                                                                                                                           "
"7710","State School Facilities Projects                                                                                                                                                                                                                          "
"7810","Other Restricted State                                                                                                                                                                                                                                    "
"8100","Routine Repair & Maintenance (RRRMF: Education Code Section 17014)                                                                                                                                                                                        "
"8150","Ongoing & Major Maintenance Account (RMA: Education Code Section 17070.75)                                                                                                                                                                                "
"9010","Other Restricted Local                                                                                                                                                                                                                                    "
"VARY","Various Resources                                                                                                                                                                                                                                         "
